id,label
1,R_Rostral_Middle_Frontal_1
2,R_Vermal_Lobules_VI-VII_2
3,R_Inferior_Temporal_3
4,R_Pericalcarine_4
5,R_Lateral_Orbitofrontal_5
6,R_Rostral_Anterior_Cingulate_6
7,R_Superior_Parietal_7
8,R_Inferior_Parietal_8
9,R_Brainstem_9
10,R_Lingual_10
11,R_Postcentral_11
12,R_Transverse_Temporal_12
13,R_Medial_Orbitofrontal_13
14,R_Paracentral_14
15,R_Parahippocampal_15
16,R_Vermal_Lobules_VIII-X_16
17,R_Pars_Triangularis_17
18,R_Insula_18
19,R_Fusiform_19
20,R_Basal_Forebrain_20
21,R_Middle_Temporal_21
22,R_Caudal_Anterior_Cingulate_22
23,R_Precuneus_23
24,R_Pars_Opercularis_24
25,R_Isthmus_Cingulate_25
26,R_Lateral_Occipital_26
27,R_Precentral_27
28,R_Entorhinal_28
29,R_Superior_Frontal_29
30,R_Cerebellum_White_Matter_30
31,R_Caudal_Middle_Frontal_31
32,R_Cuneus_32
33,R_Pars_Orbitalis_33
34,R_Superior_Temporal_34
35,R_Cerebellum_Grey_Matter_35
36,R_Posterior_Cingulate_36
37,R_Vermal_Lobules_I-IV_37
38,R_Supramarginal_38
39,L_Rostral_Middle_Frontal_39
40,L_Vermal_Lobules_VI-VII_40
41,L_Inferior_Temporal_41
42,L_Pericalcarine_42
43,L_Lateral_Orbitofrontal_43
44,L_Rostral_Anterior_Cingulate_44
45,L_Superior_Parietal_45
46,L_Inferior_Parietal_46
47,L_Brainstem_47
48,L_Lingual_48
49,L_Postcentral_49
50,L_Transverse_Temporal_50
51,L_Medial_Orbitofrontal_51
52,L_Paracentral_52
53,L_Parahippocampal_53
54,L_Vermal_Lobules_VIII-X_54
55,L_Pars_Triangularis_55
56,L_Insula_56
57,L_Fusiform_57
58,L_Basal_Forebrain_58
59,L_Middle_Temporal_59
60,L_Caudal_Anterior_Cingulate_60
61,L_Precuneus_61
62,L_Pars_Opercularis_62
63,L_Isthmus_Cingulate_63
64,L_Lateral_Occipital_64
65,L_Precentral_65
66,L_Entorhinal_66
67,L_Superior_Frontal_67
68,L_Cerebellum_White_Matter_68
69,L_Caudal_Middle_Frontal_69
70,L_Cuneus_70
71,L_Pars_Orbitalis_71
72,L_Superior_Temporal_72
73,L_Cerebellum_Grey_Matter_73
74,L_Posterior_Cingulate_74
75,L_Vermal_Lobules_I-IV_75
76,L_Supramarginal_76
77,R_HIP-head-m1_77
78,R_HIP-head-m2_78
79,R_THA-VAip_79
80,R_THA-VAia_80
81,R_HIP-head-l_81
82,R_HIP-body_82
83,R_HIP-tail_83
84,R_THA-VPm_84
85,R_THA-VPl_85
86,R_THA-VAs_86
87,R_THA-DAm_87
88,R_THA-DAl_88
89,R_PUT-VA_89
90,R_PUT-DA_90
91,R_PUT-VP_91
92,R_PUT-DP_92
93,R_CAU-VA_93
94,R_CAU-DA_94
95,R_CAU-body_95
96,R_CAU-tail_96
97,R_lAMY_97
98,R_mAMY_98
99,R_THA-DP_99
100,R_NAc-shell_100
101,R_NAc-core_101
102,R_pGP_102
103,R_aGP_103
104,L_HIP-head-m1_104
105,L_HIP-head-m2_105
106,L_THA-VAip_106
107,L_THA-VAia_107
108,L_HIP-head-l_108
109,L_HIP-body_109
110,L_HIP-tail_110
111,L_THA-VPm_111
112,L_THA-VPl_112
113,L_THA-VAs_113
114,L_THA-DAm_114
115,L_THA-DAl_115
116,L_PUT-VA_116
117,L_PUT-DA_117
118,L_PUT-VP_118
119,L_PUT-DP_119
120,L_CAU-VA_120
121,L_CAU-DA_121
122,L_CAU-body_122
123,L_CAU-tail_123
124,L_lAMY_124
125,L_mAMY_125
126,L_THA-DP_126
127,L_NAc-shell_127
128,L_NAc-core_128
129,L_pGP_129
130,L_aGP_130
131,R_Substantia_Nigra_131
132,R_Subthalamic_Nucleus_132
133,L_Substantia_Nigra_133
134,L_Subthalamic_Nucleus_134
